,TransactionType,Channel,CustomerAge,CustomerOccupation,AccountBalance,CustomerAge_bin,AccountBalance_bin,TransactionAmount_bin,cluster
372,Debit,Branch,73.0,Retired,5331.57,4.0,4.0,4.0,2
373,Debit,Branch,27.0,Engineer,7645.469999999999,1.0,1.0,1.0,0
374,Debit,ATM,51.0,Engineer,8119.73,3.0,3.0,3.0,2
375,Debit,ATM,46.0,Doctor,6101.15,2.0,2.0,2.0,0
376,Debit,Branch,80.0,Retired,2561.42,4.0,4.0,4.0,2
377,Credit,Branch,58.0,Doctor,11905.64,3.0,3.0,3.0,3
378,Credit,ATM,64.0,Doctor,7095.88,3.0,3.0,3.0,3
379,Debit,Online,58.0,Engineer,4382.73,3.0,3.0,3.0,2
380,Credit,ATM,18.0,Student,1328.73,1.0,1.0,1.0,1
381,Debit,ATM,23.0,Student,1278.0,1.0,1.0,1.0,1
382,Debit,Branch,80.0,Retired,2929.51,4.0,4.0,4.0,2
383,Debit,Branch,29.0,Engineer,8926.38,1.0,1.0,1.0,0
384,Credit,Online,59.0,Doctor,5977.59,3.0,3.0,3.0,3
385,Debit,ATM,72.0,Retired,7676.92,4.0,4.0,4.0,2
386,Debit,ATM,45.0,Engineer,4657.7,2.0,2.0,2.0,0
387,Debit,Branch,34.0,Engineer,3293.01,2.0,2.0,2.0,0
388,Debit,ATM,57.0,Engineer,7998.25,3.0,3.0,3.0,2
389,Debit,Branch,30.0,Engineer,3435.34,1.0,1.0,1.0,0
390,Debit,Online,58.0,Doctor,344.07,3.0,3.0,3.0,2
391,Debit,ATM,53.0,Retired,3897.17,3.0,3.0,3.0,2
392,Debit,ATM,67.0,Retired,5358.95,4.0,4.0,4.0,2
393,Debit,Online,27.0,Engineer,627.79,1.0,1.0,1.0,0
394,Debit,Branch,35.0,Doctor,7418.82,2.0,2.0,2.0,0
395,Credit,Branch,36.0,Engineer,5615.26,2.0,2.0,2.0,3
396,Credit,Branch,24.0,Student,1995.1799999999998,1.0,1.0,1.0,1
397,Debit,ATM,50.0,Engineer,453.39,3.0,3.0,3.0,2
398,Debit,ATM,66.0,Retired,2173.76,4.0,4.0,4.0,2
399,Debit,Branch,39.0,Engineer,6452.14,2.0,2.0,2.0,0
400,Credit,Online,75.0,Retired,7713.67,4.0,4.0,4.0,3
401,Debit,Online,42.0,Engineer,5528.36,2.0,2.0,2.0,0
402,Debit,Online,35.0,Doctor,9939.94,2.0,2.0,2.0,0
403,Debit,ATM,34.0,Engineer,7016.99,2.0,2.0,2.0,0
404,Credit,Branch,55.0,Retired,2661.3,3.0,3.0,3.0,3
405,Debit,Branch,54.0,Engineer,2026.3199999999997,3.0,3.0,3.0,2
406,Debit,Branch,68.0,Retired,7371.85,4.0,4.0,4.0,2
407,Debit,Online,19.0,Student,264.83,1.0,1.0,1.0,1
408,Debit,Online,36.0,Doctor,10001.66,2.0,2.0,2.0,0
409,Credit,ATM,77.0,Retired,7752.140000000001,4.0,4.0,4.0,3
410,Debit,Branch,34.0,Engineer,9594.11,2.0,2.0,2.0,0
411,Debit,Branch,21.0,Student,1329.41,1.0,1.0,1.0,1
412,Debit,ATM,38.0,Doctor,11624.93,2.0,2.0,2.0,0
413,Debit,ATM,22.0,Student,168.84,1.0,1.0,1.0,1
414,Debit,Online,28.0,Student,160.57,1.0,1.0,1.0,1
415,Debit,ATM,58.0,Engineer,7135.64,3.0,3.0,3.0,2
416,Debit,Branch,27.0,Student,469.13999999999993,1.0,1.0,1.0,1
417,Debit,Online,67.0,Retired,7517.499999999999,4.0,4.0,4.0,2
418,Debit,ATM,48.0,Doctor,8013.63,2.0,2.0,2.0,0
419,Debit,Branch,54.0,Retired,5077.06,3.0,3.0,3.0,2
420,Debit,Online,51.0,Engineer,2791.2,3.0,3.0,3.0,2
421,Credit,Branch,62.0,Retired,1777.38,3.0,3.0,3.0,3
422,Debit,Branch,68.0,Retired,7749.14,4.0,4.0,4.0,2
423,Debit,Online,66.0,Retired,4516.76,4.0,4.0,4.0,2
424,Debit,Online,68.0,Retired,2016.0200000000002,4.0,4.0,4.0,2
425,Debit,ATM,18.0,Student,1959.52,1.0,1.0,1.0,1
426,Debit,Branch,23.0,Student,1790.27,1.0,1.0,1.0,1
427,Debit,ATM,27.0,Student,711.4699999999999,1.0,1.0,1.0,1
428,Debit,ATM,26.0,Student,1546.22,1.0,1.0,1.0,1
429,Debit,ATM,44.0,Doctor,7208.15,2.0,2.0,2.0,0
430,Credit,Online,59.0,Engineer,9267.32,3.0,3.0,3.0,3
431,Debit,Online,63.0,Retired,6485.78,3.0,3.0,3.0,2
432,Debit,ATM,65.0,Retired,3984.38,4.0,4.0,4.0,2
433,Debit,ATM,60.0,Engineer,412.78,3.0,3.0,3.0,2
434,Credit,Online,54.0,Retired,4795.65,3.0,3.0,3.0,3
435,Credit,Branch,28.0,Student,246.57,1.0,1.0,1.0,1
436,Debit,Online,54.0,Retired,6631.5,3.0,3.0,3.0,2
437,Debit,Online,21.0,Student,1661.68,1.0,1.0,1.0,1
438,Credit,Online,54.0,Retired,5504.01,3.0,3.0,3.0,3
439,Debit,ATM,18.0,Student,312.19,1.0,1.0,1.0,1
440,Credit,Branch,69.0,Retired,2445.58,4.0,4.0,4.0,3
441,Debit,ATM,62.0,Doctor,10862.99,3.0,3.0,3.0,2
442,Debit,Online,55.0,Retired,5414.87,3.0,3.0,3.0,2
443,Debit,ATM,55.0,Retired,3919.4399999999996,3.0,3.0,3.0,2
444,Debit,Branch,58.0,Engineer,7315.34,3.0,3.0,3.0,2
445,Debit,ATM,26.0,Student,465.62999999999994,1.0,1.0,1.0,1
446,Debit,Online,53.0,Doctor,9992.36,3.0,3.0,3.0,2
447,Debit,ATM,57.0,Retired,5141.19,3.0,3.0,3.0,2
448,Debit,ATM,45.0,Engineer,4317.85,2.0,2.0,2.0,0
449,Debit,Branch,23.0,Student,1636.32,1.0,1.0,1.0,1
450,Debit,Branch,77.0,Retired,7932.410000000001,4.0,4.0,4.0,2
451,Debit,Online,60.0,Engineer,3927.6900000000005,3.0,3.0,3.0,2
452,Debit,ATM,27.0,Student,588.4999999999999,1.0,1.0,1.0,1
453,Credit,Branch,30.0,Engineer,8517.95,1.0,1.0,1.0,0
454,Credit,Branch,76.0,Retired,2401.59,4.0,4.0,4.0,3
455,Debit,Branch,19.0,Student,6776.41,1.0,1.0,1.0,1
456,Debit,Branch,48.0,Doctor,5529.92,2.0,2.0,2.0,0
457,Debit,Branch,40.0,Doctor,9009.42,2.0,2.0,2.0,0
458,Debit,Branch,57.0,Engineer,5994.87,3.0,3.0,3.0,2
459,Debit,Online,65.0,Retired,5468.58,4.0,4.0,4.0,2
460,Debit,ATM,39.0,Engineer,5677.52,2.0,2.0,2.0,0
461,Credit,Online,43.0,Doctor,14180.21,2.0,2.0,2.0,3
462,Credit,Online,40.0,Doctor,9895.1,2.0,2.0,2.0,3
463,Debit,Branch,39.0,Engineer,2232.84,2.0,2.0,2.0,0
464,Debit,ATM,57.0,Retired,7739.54,3.0,3.0,3.0,2
465,Debit,ATM,59.0,Retired,6044.93,3.0,3.0,3.0,2
466,Debit,ATM,25.0,Student,922.19,1.0,1.0,1.0,1
467,Debit,Online,48.0,Doctor,10778.35,2.0,2.0,2.0,0
468,Debit,Online,41.0,Engineer,7513.79,2.0,2.0,2.0,0
469,Debit,Online,46.0,Engineer,2051.25,2.0,2.0,2.0,0
470,Debit,ATM,63.0,Retired,1038.91,3.0,3.0,3.0,2
471,Credit,Branch,51.0,Retired,6854.61,3.0,3.0,3.0,3
472,Debit,ATM,18.0,Student,619.86,1.0,1.0,1.0,1
473,Debit,Branch,30.0,Doctor,11320.83,1.0,1.0,1.0,0
474,Debit,Branch,60.0,Doctor,14510.8,3.0,3.0,3.0,2
475,Debit,Online,54.0,Engineer,5103.67,3.0,3.0,3.0,2
476,Debit,Online,55.0,Doctor,13793.53,3.0,3.0,3.0,2
477,Debit,Online,50.0,Engineer,2403.39,3.0,3.0,3.0,2
478,Debit,Online,60.0,Retired,3075.97,3.0,3.0,3.0,2
479,Debit,Online,28.0,Student,7835.4,1.0,1.0,1.0,1
480,Debit,Branch,20.0,Student,414.43,1.0,1.0,1.0,1
481,Debit,Branch,40.0,Engineer,6116.8,2.0,2.0,2.0,0
482,Debit,ATM,71.0,Retired,6067.62,4.0,4.0,4.0,2
483,Debit,Branch,53.0,Engineer,7341.43,3.0,3.0,3.0,2
484,Debit,ATM,22.0,Student,1454.08,1.0,1.0,1.0,1
485,Debit,Branch,26.0,Student,1476.91,1.0,1.0,1.0,1
486,Debit,Online,28.0,Student,1719.97,1.0,1.0,1.0,1
487,Debit,ATM,53.0,Doctor,832.82,3.0,3.0,3.0,2
488,Credit,Online,76.0,Retired,7004.63,4.0,4.0,4.0,3
489,Debit,ATM,68.0,Retired,6385.69,4.0,4.0,4.0,2
490,Debit,Online,35.0,Engineer,5472.03,2.0,2.0,2.0,0
491,Debit,Branch,30.0,Engineer,8602.22,1.0,1.0,1.0,0
492,Debit,Online,19.0,Student,162.53,1.0,1.0,1.0,1
493,Credit,Online,44.0,Engineer,9370.9,2.0,2.0,2.0,3
494,Credit,Online,55.0,Engineer,8570.82,3.0,3.0,3.0,3
495,Credit,ATM,44.0,Engineer,522.08,2.0,2.0,2.0,3
496,Debit,ATM,34.0,Engineer,836.6699999999998,2.0,2.0,2.0,0
497,Credit,Branch,18.0,Student,364.72,1.0,1.0,1.0,1
498,Debit,Branch,35.0,Doctor,8557.32,2.0,2.0,2.0,0
499,Debit,Branch,27.0,Student,129.29,1.0,1.0,1.0,1
500,Debit,Online,39.0,Doctor,6474.41,2.0,2.0,2.0,0
501,Debit,Online,21.0,Student,1380.21,1.0,1.0,1.0,1
502,Debit,Branch,54.0,Engineer,7986.629999999999,3.0,3.0,3.0,2
503,Debit,ATM,64.0,Doctor,7322.01,3.0,3.0,3.0,2
504,Debit,ATM,34.0,Doctor,9929.43,2.0,2.0,2.0,0
505,Credit,ATM,33.0,Engineer,3012.31,1.0,1.0,1.0,1
506,Debit,Online,31.0,Doctor,7198.8,1.0,1.0,1.0,0
507,Debit,Branch,63.0,Doctor,10980.38,3.0,3.0,3.0,2
508,Credit,Branch,26.0,Student,868.35,1.0,1.0,1.0,1
509,Credit,Branch,80.0,Retired,3773.2899999999995,4.0,4.0,4.0,3
510,Debit,ATM,67.0,Doctor,6697.77,4.0,4.0,4.0,2
511,Debit,Online,37.0,Doctor,9410.99,2.0,2.0,2.0,0
512,Debit,Online,37.0,Engineer,6213.32,2.0,2.0,2.0,0
513,Credit,Branch,28.0,Student,1663.31,1.0,1.0,1.0,1
514,Debit,ATM,60.0,Doctor,711.6599999999999,3.0,3.0,3.0,2
515,Credit,Online,75.0,Retired,2403.25,4.0,4.0,4.0,3
516,Credit,Branch,52.0,Retired,5957.37,3.0,3.0,3.0,3
517,Debit,Branch,24.0,Student,801.01,1.0,1.0,1.0,1
518,Credit,ATM,40.0,Engineer,5711.71,2.0,2.0,2.0,3
519,Debit,Online,24.0,Student,928.33,1.0,1.0,1.0,1
520,Credit,Branch,52.0,Engineer,7365.28,3.0,3.0,3.0,3
521,Debit,Branch,51.0,Retired,5839.38,3.0,3.0,3.0,2
522,Credit,Online,26.0,Engineer,5116.98,1.0,1.0,1.0,1
523,Debit,ATM,72.0,Retired,3641.07,4.0,4.0,4.0,2
524,Debit,ATM,70.0,Doctor,1352.19,4.0,4.0,4.0,2
525,Debit,Online,29.0,Doctor,7299.86,1.0,1.0,1.0,0
526,Debit,ATM,19.0,Student,1503.56,1.0,1.0,1.0,1
527,Debit,ATM,69.0,Retired,5943.13,4.0,4.0,4.0,2
528,Debit,Online,54.0,Engineer,895.6599999999999,3.0,3.0,3.0,2
529,Credit,Branch,67.0,Doctor,5669.1,4.0,4.0,4.0,3
530,Debit,Online,21.0,Student,1061.96,1.0,1.0,1.0,1
531,Debit,Branch,25.0,Student,1592.94,1.0,1.0,1.0,1
532,Debit,Online,39.0,Doctor,6171.89,2.0,2.0,2.0,0
533,Debit,Branch,59.0,Retired,5987.67,3.0,3.0,3.0,2
534,Debit,Online,68.0,Doctor,14783.33,4.0,4.0,4.0,2
535,Debit,Online,22.0,Student,1806.0,1.0,1.0,1.0,1
536,Debit,Online,54.0,Doctor,13240.72,3.0,3.0,3.0,2
537,Credit,Branch,27.0,Student,1196.07,1.0,1.0,1.0,1
538,Debit,Branch,27.0,Student,1408.07,1.0,1.0,1.0,1
539,Debit,Branch,41.0,Engineer,9551.64,2.0,2.0,2.0,0
540,Debit,Branch,44.0,Engineer,1070.47,2.0,2.0,2.0,0
541,Debit,ATM,49.0,Engineer,9374.24,2.0,2.0,2.0,0
542,Credit,Online,66.0,Retired,4253.18,4.0,4.0,4.0,3
543,Debit,ATM,55.0,Retired,6981.03,3.0,3.0,3.0,2
544,Debit,Online,57.0,Doctor,10483.93,3.0,3.0,3.0,2
545,Debit,Online,34.0,Doctor,9588.07,2.0,2.0,2.0,0
546,Debit,ATM,47.0,Doctor,1238.11,2.0,2.0,2.0,0
547,Debit,Branch,22.0,Student,1244.93,1.0,1.0,1.0,1
548,Debit,Branch,26.0,Student,1040.25,1.0,1.0,1.0,1
549,Debit,Branch,78.0,Retired,5757.67,4.0,4.0,4.0,2
550,Debit,ATM,27.0,Student,1712.65,1.0,1.0,1.0,1
551,Debit,Online,60.0,Doctor,13293.83,3.0,3.0,3.0,2
552,Debit,ATM,30.0,Doctor,8839.67,1.0,1.0,1.0,0
553,Credit,Online,56.0,Retired,6239.89,3.0,3.0,3.0,3
554,Debit,Branch,32.0,Engineer,8459.18,1.0,1.0,1.0,0
555,Debit,Branch,65.0,Doctor,9073.17,4.0,4.0,4.0,2
556,Debit,ATM,78.0,Retired,7561.33,4.0,4.0,4.0,2
557,Credit,Online,50.0,Engineer,2276.57,3.0,3.0,3.0,3
558,Credit,ATM,28.0,Engineer,2791.12,1.0,1.0,1.0,1
559,Debit,Online,28.0,Engineer,9808.97,1.0,1.0,1.0,0
560,Debit,ATM,57.0,Retired,6324.09,3.0,3.0,3.0,2
561,Debit,Branch,51.0,Retired,6581.55,3.0,3.0,3.0,2
562,Debit,Branch,64.0,Retired,3140.79,3.0,3.0,3.0,2
563,Credit,Branch,21.0,Student,461.83,1.0,1.0,1.0,1
564,Debit,ATM,53.0,Engineer,5670.0,3.0,3.0,3.0,2
565,Credit,Branch,79.0,Retired,4040.3199999999997,4.0,4.0,4.0,3
566,Debit,Branch,20.0,Student,220.51,1.0,1.0,1.0,1
567,Debit,Online,62.0,Retired,3634.76,3.0,3.0,3.0,2
568,Credit,Online,39.0,Engineer,7180.48,2.0,2.0,2.0,3
569,Credit,Online,75.0,Retired,1389.71,4.0,4.0,4.0,3
570,Credit,ATM,78.0,Retired,5002.7,4.0,4.0,4.0,3
571,Debit,ATM,20.0,Student,9239.12,1.0,1.0,1.0,1
572,Debit,ATM,24.0,Student,666.42,1.0,1.0,1.0,1
573,Credit,Branch,51.0,Doctor,11351.64,3.0,3.0,3.0,3
574,Debit,ATM,43.0,Engineer,7234.15,2.0,2.0,2.0,0
575,Debit,Branch,27.0,Engineer,2049.51,1.0,1.0,1.0,0
576,Debit,ATM,68.0,Doctor,8865.27,4.0,4.0,4.0,2
577,Debit,Branch,18.0,Student,3908.4700000000003,1.0,1.0,1.0,1
578,Debit,ATM,26.0,Engineer,5587.44,1.0,1.0,1.0,0
579,Debit,Online,50.0,Engineer,438.75,3.0,3.0,3.0,2
580,Debit,Online,28.0,Student,609.5999999999999,1.0,1.0,1.0,1
581,Credit,Branch,68.0,Retired,2393.73,4.0,4.0,4.0,3
582,Credit,Branch,54.0,Retired,3914.84,3.0,3.0,3.0,3
583,Debit,Branch,28.0,Student,818.3599999999999,1.0,1.0,1.0,1
584,Debit,Branch,18.0,Student,304.44,1.0,1.0,1.0,1
585,Credit,Online,30.0,Doctor,9553.42,1.0,1.0,1.0,0
586,Credit,Branch,59.0,Engineer,3034.67,3.0,3.0,3.0,3
587,Debit,ATM,43.0,Engineer,5515.32,2.0,2.0,2.0,0
588,Debit,Branch,36.0,Doctor,1677.01,2.0,2.0,2.0,0
589,Debit,Branch,53.0,Retired,4055.55,3.0,3.0,3.0,2
590,Debit,ATM,33.0,Doctor,9899.94,1.0,1.0,1.0,0
591,Debit,Branch,43.0,Engineer,2620.74,2.0,2.0,2.0,0
592,Debit,ATM,64.0,Retired,2174.16,3.0,3.0,3.0,2
593,Credit,Branch,46.0,Engineer,7854.100000000001,2.0,2.0,2.0,3
594,Credit,Branch,49.0,Engineer,8253.65,2.0,2.0,2.0,3
595,Debit,ATM,18.0,Student,874.1499999999999,1.0,1.0,1.0,1
596,Debit,Branch,31.0,Doctor,6043.25,1.0,1.0,1.0,0
597,Debit,Branch,37.0,Engineer,2766.12,2.0,2.0,2.0,0
598,Debit,Online,56.0,Engineer,8171.259999999999,3.0,3.0,3.0,2
599,Debit,ATM,33.0,Doctor,5401.21,1.0,1.0,1.0,0
600,Debit,Online,27.0,Student,3548.02,1.0,1.0,1.0,1
601,Debit,Online,27.0,Student,160.83,1.0,1.0,1.0,1
602,Credit,Branch,24.0,Student,752.2499999999999,1.0,1.0,1.0,1
603,Credit,Branch,41.0,Engineer,469.12,2.0,2.0,2.0,3
604,Credit,Online,61.0,Doctor,8441.61,3.0,3.0,3.0,3
605,Debit,Online,60.0,Engineer,3806.16,3.0,3.0,3.0,2
606,Debit,Branch,47.0,Doctor,8802.97,2.0,2.0,2.0,0
607,Debit,ATM,63.0,Retired,1106.34,3.0,3.0,3.0,2
608,Credit,Online,53.0,Retired,5005.33,3.0,3.0,3.0,3
609,Debit,Branch,58.0,Retired,7949.03,3.0,3.0,3.0,2
610,Debit,ATM,26.0,Student,259.77,1.0,1.0,1.0,1
611,Debit,ATM,49.0,Engineer,2114.3,2.0,2.0,2.0,0
612,Debit,Branch,50.0,Doctor,8461.46,3.0,3.0,3.0,2
613,Credit,Online,52.0,Retired,6870.84,3.0,3.0,3.0,3
614,Debit,Branch,49.0,Engineer,5058.83,2.0,2.0,2.0,0
615,Debit,Branch,31.0,Engineer,8885.0,1.0,1.0,1.0,0
616,Debit,Online,24.0,Student,530.81,1.0,1.0,1.0,1
617,Debit,ATM,23.0,Student,9379.53,1.0,1.0,1.0,1
618,Debit,Branch,59.0,Retired,6475.13,3.0,3.0,3.0,2
619,Debit,Online,41.0,Doctor,5298.85,2.0,2.0,2.0,0
620,Debit,Online,21.0,Student,490.57,1.0,1.0,1.0,1
621,Debit,ATM,67.0,Doctor,11310.27,4.0,4.0,4.0,2
622,Debit,ATM,62.0,Retired,3988.75,3.0,3.0,3.0,2
623,Debit,ATM,51.0,Retired,7484.319999999999,3.0,3.0,3.0,2
624,Debit,Branch,51.0,Engineer,5963.1,3.0,3.0,3.0,2
625,Credit,ATM,21.0,Student,296.47,1.0,1.0,1.0,1
626,Debit,Online,19.0,Student,910.26,1.0,1.0,1.0,1
627,Debit,Branch,29.0,Doctor,6684.34,1.0,1.0,1.0,0
628,Debit,ATM,40.0,Doctor,8524.09,2.0,2.0,2.0,0
629,Debit,ATM,53.0,Retired,5126.65,3.0,3.0,3.0,2
630,Debit,Branch,22.0,Student,873.8899999999999,1.0,1.0,1.0,1
631,Debit,Branch,57.0,Retired,7059.77,3.0,3.0,3.0,2
632,Debit,ATM,58.0,Doctor,11991.24,3.0,3.0,3.0,2
633,Debit,ATM,18.0,Student,8086.040000000001,1.0,1.0,1.0,1
634,Debit,ATM,63.0,Doctor,12626.49,3.0,3.0,3.0,2
635,Debit,Branch,75.0,Retired,1730.28,4.0,4.0,4.0,2
636,Debit,Branch,44.0,Engineer,3143.17,2.0,2.0,2.0,0
637,Debit,ATM,27.0,Student,1242.49,1.0,1.0,1.0,1
638,Credit,Branch,55.0,Retired,1886.36,3.0,3.0,3.0,3
639,Debit,Branch,26.0,Student,416.89,1.0,1.0,1.0,1
640,Debit,Branch,53.0,Retired,5929.08,3.0,3.0,3.0,2
641,Debit,Online,23.0,Student,479.08,1.0,1.0,1.0,1
642,Credit,Online,33.0,Doctor,5862.99,1.0,1.0,1.0,0
643,Debit,Branch,27.0,Student,797.1,1.0,1.0,1.0,1
644,Debit,ATM,65.0,Retired,7287.94,4.0,4.0,4.0,2
645,Credit,Online,59.0,Engineer,5624.86,3.0,3.0,3.0,3
646,Credit,Branch,39.0,Engineer,2988.41,2.0,2.0,2.0,3
647,Debit,ATM,53.0,Engineer,2712.96,3.0,3.0,3.0,2
648,Debit,Online,24.0,Student,1433.66,1.0,1.0,1.0,1
649,Debit,Online,30.0,Doctor,7336.56,1.0,1.0,1.0,0
650,Debit,ATM,18.0,Student,475.62999999999994,1.0,1.0,1.0,1
651,Debit,Branch,65.0,Doctor,11698.15,4.0,4.0,4.0,2
652,Credit,Online,21.0,Student,1034.35,1.0,1.0,1.0,1
653,Debit,ATM,64.0,Doctor,12042.79,3.0,3.0,3.0,2
654,Debit,Online,26.0,Student,518.54,1.0,1.0,1.0,1
655,Debit,ATM,68.0,Doctor,9127.65,4.0,4.0,4.0,2
656,Debit,ATM,34.0,Engineer,4471.05,2.0,2.0,2.0,0
657,Debit,Online,29.0,Engineer,6214.54,1.0,1.0,1.0,0
658,Credit,Branch,24.0,Student,1187.04,1.0,1.0,1.0,1
659,Debit,Online,36.0,Doctor,354.9,2.0,2.0,2.0,0
660,Debit,Branch,35.0,Engineer,791.46,2.0,2.0,2.0,0
661,Debit,ATM,52.0,Retired,5878.89,3.0,3.0,3.0,2
662,Debit,Online,20.0,Student,533.2,1.0,1.0,1.0,1
663,Debit,ATM,24.0,Student,897.94,1.0,1.0,1.0,1
664,Debit,Branch,30.0,Doctor,9159.56,1.0,1.0,1.0,0
665,Debit,ATM,45.0,Engineer,4392.73,2.0,2.0,2.0,0
666,Debit,Online,40.0,Engineer,2008.7700000000002,2.0,2.0,2.0,0
667,Debit,Online,30.0,Engineer,6356.96,1.0,1.0,1.0,0
668,Debit,Online,64.0,Retired,6009.12,3.0,3.0,3.0,2
669,Debit,ATM,76.0,Retired,7896.850000000001,4.0,4.0,4.0,2
670,Debit,ATM,24.0,Student,1649.43,1.0,1.0,1.0,1
671,Debit,Branch,67.0,Retired,2840.43,4.0,4.0,4.0,2
672,Debit,Online,57.0,Retired,3274.96,3.0,3.0,3.0,2
673,Debit,Online,73.0,Retired,6501.56,4.0,4.0,4.0,2
674,Debit,ATM,26.0,Student,363.92,1.0,1.0,1.0,1
675,Debit,Online,27.0,Engineer,9748.48,1.0,1.0,1.0,0
676,Debit,ATM,19.0,Student,1404.53,1.0,1.0,1.0,1
677,Debit,ATM,21.0,Student,706.44,1.0,1.0,1.0,1
678,Debit,ATM,44.0,Doctor,5095.73,2.0,2.0,2.0,0
679,Credit,Branch,65.0,Retired,3059.79,4.0,4.0,4.0,3
680,Debit,ATM,33.0,Engineer,7844.23,1.0,1.0,1.0,0
681,Debit,ATM,60.0,Retired,6810.94,3.0,3.0,3.0,2
682,Debit,Online,55.0,Retired,1457.07,3.0,3.0,3.0,2
683,Debit,Branch,22.0,Student,813.68,1.0,1.0,1.0,1
684,Credit,Branch,27.0,Student,1518.82,1.0,1.0,1.0,1
685,Debit,ATM,50.0,Doctor,10269.78,3.0,3.0,3.0,2
686,Debit,Branch,42.0,Engineer,672.7899999999998,2.0,2.0,2.0,0
687,Credit,Branch,61.0,Doctor,6024.8,3.0,3.0,3.0,3
688,Credit,Online,56.0,Engineer,2158.59,3.0,3.0,3.0,3
689,Credit,Branch,43.0,Doctor,6011.8,2.0,2.0,2.0,3
690,Debit,ATM,73.0,Retired,6372.58,4.0,4.0,4.0,2
691,Debit,Branch,57.0,Engineer,2569.56,3.0,3.0,3.0,2
692,Debit,ATM,61.0,Doctor,10585.48,3.0,3.0,3.0,2
693,Debit,ATM,52.0,Doctor,717.9899999999999,3.0,3.0,3.0,2
694,Debit,Online,72.0,Retired,3689.65,4.0,4.0,4.0,2
695,Debit,Branch,28.0,Student,1512.16,1.0,1.0,1.0,1
696,Credit,Online,64.0,Doctor,14389.45,3.0,3.0,3.0,3
697,Debit,ATM,74.0,Retired,7014.69,4.0,4.0,4.0,2
698,Debit,ATM,79.0,Retired,3520.61,4.0,4.0,4.0,2
699,Debit,Online,80.0,Retired,4913.42,4.0,4.0,4.0,2
700,Debit,Branch,38.0,Engineer,9155.35,2.0,2.0,2.0,0
701,Debit,Online,46.0,Engineer,2567.53,2.0,2.0,2.0,0
702,Debit,Online,53.0,Retired,3779.4699999999993,3.0,3.0,3.0,2
703,Credit,Online,68.0,Retired,4177.65,4.0,4.0,4.0,3
704,Credit,Branch,28.0,Engineer,7284.76,1.0,1.0,1.0,0
705,Debit,Online,66.0,Retired,6530.59,4.0,4.0,4.0,2
706,Debit,Online,44.0,Doctor,7895.540000000001,2.0,2.0,2.0,0
707,Debit,Online,54.0,Engineer,6781.3,3.0,3.0,3.0,2
708,Debit,Online,29.0,Engineer,2091.78,1.0,1.0,1.0,0
709,Debit,ATM,41.0,Doctor,11108.39,2.0,2.0,2.0,0
710,Debit,Branch,35.0,Doctor,9088.36,2.0,2.0,2.0,0
711,Debit,ATM,53.0,Engineer,4671.69,3.0,3.0,3.0,2
712,Debit,Branch,37.0,Engineer,7534.7300000000005,2.0,2.0,2.0,0
713,Debit,ATM,29.0,Engineer,6353.14,1.0,1.0,1.0,0
714,Debit,Branch,63.0,Doctor,13587.52,3.0,3.0,3.0,2
715,Debit,ATM,74.0,Retired,1351.24,4.0,4.0,4.0,2
716,Debit,ATM,57.0,Retired,3728.0400000000004,3.0,3.0,3.0,2
717,Debit,Online,57.0,Doctor,6067.44,3.0,3.0,3.0,2
718,Debit,Branch,63.0,Retired,4292.16,3.0,3.0,3.0,2
719,Debit,ATM,56.0,Retired,3801.8200000000006,3.0,3.0,3.0,2
720,Credit,Branch,64.0,Retired,6353.22,3.0,3.0,3.0,3
721,Credit,Online,23.0,Student,1251.85,1.0,1.0,1.0,1
722,Debit,Online,44.0,Doctor,11869.71,2.0,2.0,2.0,0
723,Debit,Online,29.0,Doctor,9409.43,1.0,1.0,1.0,0
724,Debit,ATM,80.0,Retired,6003.59,4.0,4.0,4.0,2
725,Credit,Online,50.0,Engineer,817.83,3.0,3.0,3.0,3
726,Debit,Branch,28.0,Student,319.65,1.0,1.0,1.0,1
727,Credit,Online,40.0,Engineer,478.23,2.0,2.0,2.0,3
728,Credit,Branch,53.0,Doctor,8012.810000000001,3.0,3.0,3.0,3
729,Debit,ATM,68.0,Retired,4201.22,4.0,4.0,4.0,2
730,Debit,ATM,18.0,Student,8870.89,1.0,1.0,1.0,1
731,Debit,Branch,27.0,Engineer,906.1999999999999,1.0,1.0,1.0,0
732,Debit,Online,46.0,Doctor,9286.37,2.0,2.0,2.0,0
733,Credit,Branch,70.0,Retired,2224.08,4.0,4.0,4.0,3
734,Credit,Online,67.0,Doctor,14639.28,4.0,4.0,4.0,3
735,Debit,Branch,45.0,Engineer,9733.59,2.0,2.0,2.0,0
736,Debit,ATM,29.0,Engineer,2756.2,1.0,1.0,1.0,0
737,Debit,ATM,36.0,Doctor,6655.15,2.0,2.0,2.0,0
738,Debit,ATM,55.0,Retired,3233.87,3.0,3.0,3.0,2
739,Debit,ATM,20.0,Student,1676.57,1.0,1.0,1.0,1
740,Debit,Online,54.0,Engineer,8371.11,3.0,3.0,3.0,2
741,Credit,Branch,65.0,Retired,2611.64,4.0,4.0,4.0,3
742,Credit,Branch,18.0,Student,552.06,1.0,1.0,1.0,1
743,Credit,Branch,60.0,Retired,6017.36,3.0,3.0,3.0,3
744,Debit,Branch,34.0,Engineer,7281.46,2.0,2.0,2.0,0
745,Debit,Branch,26.0,Engineer,6847.47,1.0,1.0,1.0,0
